#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         467    -5.46219     -5.4662 0.000757505
         468    -5.46254     -5.4662 0.000755926
         469    -5.46258    -5.46619 0.000754354
         470    -5.46293    -5.46618 0.000752781
         471    -5.46394    -5.46618 0.000751198
         472    -5.46397    -5.46617 0.000749621
         473    -5.46401    -5.46617  0.00074805
         474    -5.46372    -5.46616 0.000746489
         475    -5.46376    -5.46616 0.000744935
         476     -5.4638    -5.46615 0.000743386
         477     -5.4632    -5.46615 0.000741854
         478    -5.46291    -5.46614 0.000740332
         479    -5.46263    -5.46613 0.000738823
         480    -5.46268    -5.46612 0.000737319
         481    -5.46304    -5.46612 0.000735814
         482    -5.46374    -5.46611 0.000734304
         483    -5.46346    -5.46611 0.000732804
         484    -5.46286     -5.4661 0.000731321
         485    -5.46258    -5.46609 0.000729849
         486    -5.46198    -5.46608 0.000728396
         487    -5.46267    -5.46608 0.000726934
         488    -5.46304    -5.46607 0.000725471
         489    -5.46309    -5.46607 0.000724013
         490    -5.46347    -5.46606 0.000722555
         491    -5.46287    -5.46605 0.000721113
         492    -5.46259    -5.46605 0.000719682
         493    -5.46394    -5.46604 0.000718234
         494    -5.46399    -5.46604 0.000716793
         495    -5.46372    -5.46603  0.00071536
         496    -5.46377    -5.46603 0.000713932
         497    -5.46382    -5.46602  0.00071251
         498    -5.46387    -5.46602 0.000711092
         499    -5.46393    -5.46602 0.000709679
         500    -5.46398    -5.46601 0.000708272
         501    -5.46371    -5.46601 0.000706873
         502    -5.46376      -5.466 0.000705479
         503    -5.46414      -5.466 0.000704086
         504    -5.46451      -5.466 0.000702695
         505    -5.46489    -5.46599 0.000701307
         506    -5.46527    -5.46599 0.000699923
         507    -5.46565    -5.46599 0.000698543
         508    -5.46538    -5.46599 0.000697168
         509    -5.46511    -5.46599 0.000695801
         510    -5.46516    -5.46599 0.000694439
         511    -5.46425    -5.46598 0.000693088
         512    -5.46495    -5.46598 0.000691737
         513    -5.46501    -5.46598 0.000690391
         514    -5.46571    -5.46598 0.000689048
         515    -5.46544    -5.46598 0.000687711
         516     -5.4655    -5.46598 0.000686379
